date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:09	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Nov%202024%2014:38:24%20GMT	https://www.markjsmith.com/	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/index.html	(from )
20:25:09	200/200	------	200	untouched ('OK')	text/plain	etag:W/%22ea0697de78e4872fd15e4de5d51e74f2%22	https://www.markjsmith.com/robots.txt		(from )
20:25:10	198389/198389	------	200	untouched ('OK')	text/html	date:Tue,%2026%20Nov%202024%2003:04:03%20GMT	https://www.markjsmith.com/en/home	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/en/home.html	(from https://www.markjsmith.com/)
20:25:10	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Nov%202024%2014:39:10%20GMT	https://www.markjsmith.com/waitlist?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/waitlist.36c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	46342/46342	------	200	untouched ('')	image/png	etag:%22b538e4b898bb8e54850ad04be2436766%22	https://www.markjsmith.com/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.53.54%20AM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.53.54%20AM.png	(from https://www.markjsmith.com/en/home)
20:25:10	95931/95931	------	200	untouched ('')	application/javascript	etag:W/%225790ead7ad3ba27397aedfa3d263b867%22	https://www.markjsmith.com/hs/hsstatic/jquery-libs/static-1.4/jquery/jquery-1.11.2.js	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs/hsstatic/jquery-libs/static-1.4/jquery/jquery-1.11.2.js	(from https://www.markjsmith.com/en/home)
20:25:10	99300/99300	------	200	untouched ('OK')	text/css	etag:W/%227f0aa4f5b1e8ce8d413a0103bcc899ff%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107103024190/1730836594619/CLEAN_x_markjsmithcom/css/main-head.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107103024190/1730836594619/CLEAN_x_markjsmithcom/css/main-head.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	115294/115294	------	200	untouched ('OK')	text/css	etag:W/%22dda03e84cd9140eddd347a99a42a13c4%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105951242/1730836623338/CLEAN_x_markjsmithcom/css/main-foot.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105951242/1730836623338/CLEAN_x_markjsmithcom/css/main-foot.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:50:13%20GMT	https://www.markjsmith.com/got-a-story?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/got-a-story.37c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	200	untouched ('OK')	text/css	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/171729770550/1719811961302/CLEAN_x_markjsmithcom/child.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/171729770550/1719811961302/CLEAN_x_markjsmithcom/child.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	4212/4212	------	200	untouched ('OK')	text/css	etag:W/%22ab8a2d015f4dd4842eed054e41b368fa%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/174839230499/1722745710732/CLEAN_x_markjsmithcom/css/modules/global-footer.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/174839230499/1722745710732/CLEAN_x_markjsmithcom/css/modules/global-footer.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	37585/37585	------	200	untouched ('OK')	text/css	etag:W/%22975f170b7c18cce06555adb1d38a9541%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105409546/1730836584532/CLEAN_x_markjsmithcom/css/clean-foundation.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105409546/1730836584532/CLEAN_x_markjsmithcom/css/clean-foundation.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	329/329	------	200	untouched ('OK')	text/css	etag:W/%2227cf4bb69923622fc5400ed20820ba5a%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/module_assets/107105191321/1730836539934/module_107105191321_CLEAN_Pro_-_Magic_Module.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/module_assets/107105191321/1730836539934/module_107105191321_CLEAN_Pro_-_Magic_Module.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	2411/2411	------	200	untouched ('OK')	text/css	etag:W/%22ef02274e808afab9a86af053009b7474%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105605157/1730836606943/CLEAN_x_markjsmithcom/css/modules/row-hover-cards.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107105605157/1730836606943/CLEAN_x_markjsmithcom/css/modules/row-hover-cards.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	372/372	------	200	untouched ('OK')	text/css	etag:W/%228edac6f6989e75cf9c8b20678743896a%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-109050482603/1732567118320/module_-109050482603_Social_follow.min.css	C:/Mes%20Sites%20Web/mjs2/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-109050482603/1732567118320/module_-109050482603_Social_follow.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	3449/3449	------	200	untouched ('')	image/png	etag:%2230a9c2084b7d3d8fe1abf628a46786fd%22	https://507386.fs1.hubspotusercontent-na1.net/hubfs/507386/CLEAN-images/lazy-imgs/lazy-img-800x500.png	C:/Mes%20Sites%20Web/mjs2/507386.fs1.hubspotusercontent-na1.net/hubfs/507386/CLEAN-images/lazy-imgs/lazy-img-800x500.png	(from https://www.markjsmith.com/en/home)
20:25:10	18602/18602	------	200	untouched ('')	image/png	etag:%22832946d9e868593a8c5bcaf35b297dbc%22	https://www.markjsmith.com/hubfs/Screenshot%202024-09-16%20at%201.24.52%20PM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/Screenshot%202024-09-16%20at%201.24.52%20PM.png	(from https://www.markjsmith.com/en/home)
20:25:10	0/-1	---M--	307	error ('')			https://www.markjsmith.com/got-a-story?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/got-a-story.38c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:11%20GMT	https://www.markjsmith.com/tip-mark-smith?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/tip-mark-smith.39c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	35809/35809	------	200	untouched ('OK')	image/svg+xml	etag:W/%22660eed1ecc8bf89d13555d686ccb4528%22	https://www.markjsmith.com/hubfs/BiteRiot-premium-australian-fruit-logo-web.svg	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/BiteRiot-premium-australian-fruit-logo-web.svg	(from https://www.markjsmith.com/en/home)
20:25:10	158632/158632	------	200	untouched ('')	image/png	etag:%2256a7ec4187a935879278fa3c15ee9b3b%22	https://www.markjsmith.com/hubfs/Imported_Blog_Media/Screen-Shot-2021-01-08-at-3_36_02-pm.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/Imported_Blog_Media/Screen-Shot-2021-01-08-at-3_36_02-pm.png	(from https://www.markjsmith.com/en/home)
